month,num_neg,num_neu,num_pos
2015-06,0,0,3
2015-07,0,0,8
2015-08,2,0,5
2015-09,0,0,9
2015-10,0,0,12
2015-11,0,0,5
2015-12,0,0,3
2016-01,1,0,9
2016-02,0,0,12
2016-03,2,0,4
2016-04,0,0,12
2016-05,3,0,10
2016-06,1,0,8
2016-07,1,0,8
2016-08,1,0,8
2016-09,0,0,5
2016-10,0,0,8
2016-11,1,0,3
2016-12,0,0,8
2017-01,2,0,8
2017-02,2,0,9
2017-03,1,0,10
2017-04,1,0,2
2017-05,0,0,4
2017-06,1,0,6
2017-07,2,0,6
2017-08,0,0,6
2017-09,0,0,7
2017-10,1,0,10
2017-11,0,0,5
2017-12,1,0,4
2018-01,0,0,6
2018-02,2,0,9
2018-03,0,0,4
2018-04,0,0,4
2018-05,0,0,7
2018-06,2,0,3
2018-07,0,0,5
2018-08,0,0,1
2018-09,0,1,3
2018-10,0,0,5
2018-11,2,0,9
2018-12,0,0,11
2019-01,1,0,10
2019-02,0,0,13
2019-03,2,0,8
2019-04,0,0,10
2019-05,0,0,3
2019-06,2,0,5
2019-07,0,0,3
2019-08,1,0,4
2019-09,1,0,8
2019-10,2,0,6
2019-11,1,0,3
2019-12,0,0,9
2020-01,3,0,3
2020-02,0,0,2
2020-03,0,0,1
2020-09,1,0,2
2020-10,3,0,6
2020-11,0,0,4
2020-12,0,0,12
2021-01,0,0,3
2021-02,0,0,3
2021-03,0,0,2
2021-04,0,0,3
2021-05,0,0,10
2021-06,0,0,5
2021-07,1,0,11
2021-08,1,0,7
2021-09,1,0,8
2021-10,0,0,6
2021-11,2,0,5
2021-12,1,0,5
2022-01,1,0,7
2022-02,0,0,2
2022-03,3,0,3
2022-04,0,0,8
2022-05,2,0,4
2022-06,1,0,6
2022-07,0,0,1
2022-08,1,0,4
2022-09,0,0,4
2022-10,1,0,6
2022-11,0,0,6
2022-12,0,0,6
2023-01,1,0,2
2023-02,0,0,1
2023-03,0,0,3
2023-04,0,0,7
2023-05,0,0,6
2023-06,0,0,3
2023-07,0,0,5
2023-08,1,0,1
2023-09,1,0,3
2023-10,0,0,4
2023-11,1,0,2
2023-12,0,0,3
2024-01,0,0,4
2024-02,0,0,4
2024-03,0,0,2
2024-04,0,0,1
2024-05,0,0,1
2024-06,1,0,2
2024-08,1,0,1
2024-09,0,0,3
2024-10,0,0,2
2024-11,1,0,1
2024-12,1,0,2
2025-01,0,0,5
2025-02,0,0,2
2025-03,1,0,0
