month,num_neg,num_neu,num_pos
2013-09,2,0,7
2013-10,2,0,8
2013-11,3,0,7
2013-12,5,0,10
2014-01,0,0,5
2014-02,0,0,6
2014-03,1,0,13
2014-04,0,0,7
2014-05,2,0,5
2014-06,1,0,9
2014-07,1,0,9
2014-08,1,0,12
2014-09,0,0,7
2014-10,0,0,6
2014-11,1,0,4
2014-12,0,0,9
2015-01,0,0,4
2015-02,0,0,9
2015-03,1,0,11
2015-04,1,0,8
2015-05,1,0,10
2015-06,2,0,5
2015-07,0,0,10
2015-08,3,0,8
2015-09,2,0,8
2015-10,1,0,13
2015-11,3,0,9
2015-12,5,0,12
2016-01,0,0,13
2016-02,1,0,8
2016-03,0,0,5
2016-04,2,0,13
2016-05,3,1,13
2016-06,0,0,14
2016-07,0,0,10
2016-08,2,0,9
2016-09,1,0,6
2016-10,1,0,9
2016-11,2,0,8
2016-12,1,0,3
2017-01,3,0,5
2017-02,0,0,6
2017-03,1,2,7
2017-04,1,0,9
2017-05,1,0,9
2017-06,1,0,8
2017-07,3,0,14
2017-08,2,0,12
2017-09,1,0,6
2017-10,0,0,6
2017-11,0,0,8
2017-12,2,0,13
2018-01,0,0,9
2018-02,0,0,5
2018-03,0,0,9
2018-04,0,0,8
2018-05,0,0,6
2018-06,1,0,5
2018-07,2,0,9
2018-08,1,0,4
2018-09,1,0,7
2018-10,1,0,5
2018-11,1,0,9
2018-12,1,0,5
2019-01,0,0,5
2019-02,1,0,10
2019-03,1,0,6
2019-04,0,1,7
2019-05,2,0,7
2019-06,3,1,7
2019-07,0,0,7
2019-08,1,0,4
2019-09,2,0,13
2019-10,1,0,6
2019-11,0,0,6
2019-12,0,0,7
2020-01,1,0,4
2020-02,1,0,5
2020-03,1,0,3
2020-04,0,0,1
2020-05,0,0,2
2020-06,0,0,1
2020-07,0,0,2
2020-08,0,1,4
2020-09,0,0,4
2020-10,1,0,3
2020-11,0,0,3
2020-12,0,0,1
2021-01,0,0,2
2021-02,0,0,2
2021-03,0,0,1
2021-04,3,0,2
2021-05,0,0,2
2021-06,0,0,7
2021-07,0,0,3
2021-08,0,0,4
2021-09,2,0,2
2021-10,1,0,5
2021-11,0,0,5
2021-12,0,0,3
2022-01,0,0,3
2022-02,0,0,4
2022-03,1,0,4
2022-05,2,0,1
2022-06,1,0,6
2022-07,0,0,5
2022-08,1,0,4
2022-09,2,0,9
2022-10,1,0,7
2022-11,1,0,4
2022-12,1,0,8
2023-01,1,0,6
2023-02,0,0,5
2023-03,0,0,6
2023-04,0,0,3
2023-05,1,0,2
2023-06,0,0,2
2023-07,2,0,4
2023-08,0,0,5
2023-09,1,0,2
2023-10,1,0,5
2023-11,1,0,4
2023-12,1,0,4
2024-01,0,0,3
2024-02,1,0,0
2024-03,1,0,5
2024-04,0,0,5
2024-05,1,0,8
2024-06,1,0,1
2024-07,1,0,4
2024-08,0,0,4
2024-09,0,0,2
2024-10,0,0,2
2024-11,0,0,2
2024-12,0,0,2
2025-01,1,0,1
2025-02,1,0,1
2025-03,0,0,1
